customer_id,total_months_subscribed,payments_made,failed_payment_count,days_overdue,total_revenue,avg_monthly_revenue,upgrade_count,downgrade_count,billing_cycle_day
1064,53,51,0,0,2549.49,48.1,0,0,19
1065,32,30,3,84,599.7,18.74,3,0,21
1066,46,46,2,60,459.54,9.99,1,1,6
1067,44,44,1,8,879.56,19.99,5,3,24
1068,51,51,1,82,2549.49,49.99,1,2,22
1069,46,44,2,14,879.56,19.12,0,1,26
1070,51,51,2,46,509.49,9.99,2,2,2
1071,41,39,2,44,1949.61,47.55,1,0,22
1072,45,44,1,7,439.56,9.77,0,1,5
1073,39,39,0,0,779.61,19.99,0,3,15
1074,33,31,3,85,619.69,18.78,5,3,11
1075,42,41,2,5,409.59,9.75,2,2,24
1076,49,48,1,23,479.52,9.79,0,1,13
1077,42,42,2,61,2099.58,49.99,5,2,8
1078,42,42,0,0,839.58,19.99,5,1,20
1079,47,47,0,0,939.53,19.99,5,1,21
1080,31,29,1,67,579.71,18.7,0,1,3
1081,45,43,1,88,859.57,19.1,3,2,23
1082,30,28,0,0,559.72,18.66,5,0,13
1083,31,30,1,66,299.7,9.67,4,1,15
1084,32,32,1,8,319.68,9.99,4,0,26
1085,52,52,2,42,2599.48,49.99,2,0,15
1086,33,33,3,13,659.67,19.99,5,1,22
1087,33,31,2,66,309.69,9.38,5,2,1
1088,48,48,0,0,2399.52,49.99,0,3,14
1089,36,36,1,5,719.64,19.99,5,0,15
1090,46,44,3,70,439.56,9.56,0,0,27
1091,49,49,2,19,2449.51,49.99,2,2,14
1092,38,36,0,0,719.64,18.94,5,3,10
1093,41,40,3,24,399.6,9.75,2,1,25
1094,45,44,0,0,439.56,9.77,1,2,20
1095,32,32,1,43,639.68,19.99,2,2,19
1096,31,30,2,23,599.7,19.35,4,1,3
1097,35,34,3,18,339.66,9.7,1,1,10
1098,47,45,1,71,449.55,9.56,3,2,15
1099,31,29,3,31,289.71,9.35,5,3,11
1100,43,43,2,29,859.57,19.99,1,2,25
1101,52,52,3,50,519.48,9.99,4,3,16
1102,46,45,0,0,449.55,9.77,1,3,3
1103,53,52,1,53,1039.48,19.61,4,3,11
1104,43,42,0,0,839.58,19.53,5,1,11
1105,41,40,3,39,799.6,19.5,5,1,20
1106,45,43,1,75,429.57,9.55,5,1,1
1107,52,51,1,12,1019.49,19.61,0,1,2
1108,47,45,1,10,449.55,9.56,2,2,2
1109,35,33,0,0,1649.67,47.13,3,1,5
1110,43,42,3,53,839.58,19.53,5,2,3
1111,47,47,3,34,469.53,9.99,1,2,23
1112,32,32,0,0,319.68,9.99,3,2,21
1113,37,37,0,0,739.63,19.99,3,2,18
1114,41,39,3,89,779.61,19.01,4,2,8
1115,32,31,2,78,619.69,19.37,3,2,17
1116,39,37,1,20,1849.63,47.43,2,3,3
1117,49,47,2,56,939.53,19.17,1,3,16
1118,45,43,0,0,859.57,19.1,4,0,15
1119,49,49,2,70,2449.51,49.99,1,2,12
1120,46,44,0,0,879.56,19.12,0,3,14
1121,35,34,0,0,679.66,19.42,1,0,28
1122,36,35,2,16,1749.65,48.6,1,1,28
1123,45,45,0,0,449.55,9.99,4,3,7
1124,34,34,2,70,339.66,9.99,5,3,25
1125,40,40,1,10,1999.6,49.99,1,2,20
1126,34,32,3,2,639.68,18.81,1,0,12
1127,41,41,1,13,2049.59,49.99,2,1,12
1128,42,42,3,38,419.58,9.99,0,1,5
1129,47,47,0,0,939.53,19.99,2,1,26
1130,49,48,3,11,479.52,9.79,4,0,20
1131,37,37,3,68,739.63,19.99,3,2,18
1132,37,35,3,25,349.65,9.45,2,3,6
1133,51,49,1,50,489.51,9.6,0,0,1
1134,53,51,3,5,509.49,9.61,1,0,23
1135,50,49,2,21,979.51,19.59,2,0,2
1136,49,49,0,0,489.51,9.99,5,0,2
1137,33,33,0,0,329.67,9.99,0,2,7
1138,49,49,3,7,489.51,9.99,5,3,22
1139,31,31,0,0,309.69,9.99,3,1,23
1140,40,40,1,70,1999.6,49.99,4,1,5
1141,34,32,1,63,319.68,9.4,2,3,3
1142,52,50,1,4,499.5,9.61,3,0,15
1143,41,39,0,0,1949.61,47.55,4,3,3
1144,41,40,2,60,799.6,19.5,3,1,17
1145,34,32,3,78,639.68,18.81,3,3,12
1146,38,37,3,29,739.63,19.46,5,3,13
1147,36,34,3,26,1699.66,47.21,1,2,9
1148,46,45,1,36,449.55,9.77,0,0,17
1149,35,35,0,0,1749.65,49.99,2,0,1
1150,54,54,2,54,2699.46,49.99,5,3,4
1151,31,30,2,48,599.7,19.35,1,2,3
1152,50,50,1,42,999.5,19.99,5,1,28
1153,31,29,3,51,579.71,18.7,3,3,20
1154,36,36,3,66,359.64,9.99,2,1,26
1155,45,44,2,72,439.56,9.77,2,3,25
1156,32,31,1,26,1549.69,48.43,2,2,20
1157,43,42,1,18,839.58,19.53,3,3,13
1158,50,48,3,1,479.52,9.59,2,3,1
1159,44,44,0,0,879.56,19.99,0,0,7
1160,39,38,1,39,759.62,19.48,1,3,14
1161,49,48,1,13,479.52,9.79,1,0,17
1162,39,39,2,15,779.61,19.99,4,1,3
1163,54,54,3,34,1079.46,19.99,1,0,27
1164,45,43,0,0,429.57,9.55,4,0,19
1165,37,37,3,87,1849.63,49.99,5,3,26
1166,48,48,3,21,479.52,9.99,4,0,20
1167,37,37,2,58,739.63,19.99,4,0,25
1168,51,51,0,0,509.49,9.99,0,0,8
1169,33,32,1,8,639.68,19.38,2,2,16
1170,44,43,3,25,429.57,9.76,4,3,4
1171,32,31,2,63,309.69,9.68,4,0,20
1172,37,36,2,19,1799.64,48.64,5,1,8
1173,33,32,0,0,319.68,9.69,1,0,7
1174,47,47,1,84,939.53,19.99,5,0,6
1175,49,47,1,73,939.53,19.17,0,2,19
1176,41,40,3,31,1999.6,48.77,1,0,2
1177,49,48,0,0,959.52,19.58,0,3,5
1178,36,34,2,75,339.66,9.44,5,2,25
1179,36,36,0,0,359.64,9.99,2,3,26
1180,54,54,0,0,2699.46,49.99,5,2,13
1181,34,32,1,82,1599.68,47.05,4,3,11
1182,43,41,3,5,409.59,9.53,2,3,19
1183,38,36,1,79,719.64,18.94,0,3,11
1184,54,54,1,70,1079.46,19.99,1,0,4
1185,50,48,2,80,2399.52,47.99,0,3,4
1186,42,40,3,45,1999.6,47.61,3,0,11
1187,44,44,2,90,2199.56,49.99,4,1,23
1188,46,46,1,79,2299.54,49.99,4,2,15
1189,52,52,1,44,2599.48,49.99,0,0,14
1190,46,46,1,78,459.54,9.99,5,1,7
1191,35,35,3,13,1749.65,49.99,2,0,15
1192,52,50,3,55,999.5,19.22,5,3,3
1193,51,50,1,86,2499.5,49.01,2,3,5
1194,38,37,3,46,739.63,19.46,3,0,13
1195,52,51,3,37,509.49,9.8,2,0,5
1196,36,36,1,36,719.64,19.99,0,1,22
1197,50,50,0,0,999.5,19.99,0,0,19
1198,50,50,1,25,499.5,9.99,5,3,2
1199,32,30,3,51,299.7,9.37,4,0,28
1200,38,38,0,0,759.62,19.99,2,3,6
1201,35,34,2,21,339.66,9.7,5,0,23
1202,49,47,3,45,469.53,9.58,5,1,24
1203,45,44,1,73,439.56,9.77,2,1,26
1204,36,35,3,83,1749.65,48.6,4,2,23
1205,33,31,0,0,619.69,18.78,3,2,23
1206,40,40,3,10,399.6,9.99,2,2,25
1207,47,45,2,72,899.55,19.14,5,0,10
1208,36,36,0,0,719.64,19.99,5,1,10
1209,31,29,3,63,289.71,9.35,2,0,2
1210,47,46,3,21,459.54,9.78,1,3,16
1211,30,28,1,14,559.72,18.66,0,1,2
1212,44,44,3,39,879.56,19.99,1,1,26
1213,41,39,0,0,779.61,19.01,2,3,20
1214,31,31,0,0,619.69,19.99,0,3,4
1215,32,31,2,48,309.69,9.68,2,2,4
1216,41,39,1,44,1949.61,47.55,0,3,7
1217,39,39,2,11,389.61,9.99,5,3,12
1218,37,35,1,19,699.65,18.91,3,1,22
1219,39,37,0,0,369.63,9.48,3,2,5
1220,50,48,2,78,479.52,9.59,5,1,19
1221,46,44,1,8,879.56,19.12,4,0,8
1222,47,45,2,8,449.55,9.56,5,0,15
1223,52,50,0,0,999.5,19.22,1,0,17
1224,43,42,2,38,419.58,9.76,5,1,16
1225,53,51,1,3,1019.49,19.24,4,2,11
1226,34,33,3,33,659.67,19.4,5,3,7
1227,35,35,0,0,349.65,9.99,2,1,24
1228,46,44,0,0,2199.56,47.82,5,3,18
1229,34,32,0,0,319.68,9.4,3,3,17
1230,47,46,1,58,459.54,9.78,2,1,5
1231,54,54,0,0,1079.46,19.99,3,0,27
1232,52,50,2,16,999.5,19.22,4,1,23
1233,30,29,0,0,579.71,19.32,1,1,19
1234,33,32,2,44,319.68,9.69,0,1,4
1235,52,51,2,31,2549.49,49.03,0,0,12
1236,46,46,3,39,919.54,19.99,4,3,18
1237,52,52,3,89,519.48,9.99,5,3,10
1238,53,51,0,0,509.49,9.61,1,1,26
1239,43,42,0,0,2099.58,48.83,2,2,11
1240,52,50,1,41,999.5,19.22,2,0,17
1241,37,35,2,45,349.65,9.45,0,1,19
1242,46,44,2,70,439.56,9.56,5,3,2
1243,45,45,2,23,449.55,9.99,3,1,13
1244,31,31,1,57,619.69,19.99,2,1,5
1245,38,37,2,28,1849.63,48.67,4,3,8
1246,47,46,0,0,919.54,19.56,1,1,22
1247,36,36,2,43,719.64,19.99,3,0,21
1248,50,50,3,34,2499.5,49.99,3,3,11
1249,35,33,3,72,659.67,18.85,1,2,7
1250,35,33,2,62,659.67,18.85,5,3,3
1251,38,36,2,29,359.64,9.46,2,1,17
1252,46,44,1,48,879.56,19.12,0,3,17
1253,38,38,3,87,759.62,19.99,5,2,10
1254,40,40,2,55,399.6,9.99,4,3,4
1255,48,47,2,78,2349.53,48.95,0,2,28
1256,51,50,1,79,2499.5,49.01,4,0,15
1257,51,49,3,80,979.51,19.21,3,2,7
1258,32,30,0,0,599.7,18.74,3,0,19
1259,39,37,0,0,739.63,18.96,3,3,21
1260,42,42,3,86,419.58,9.99,2,3,10
1261,40,40,3,42,399.6,9.99,4,2,20
1262,40,38,0,0,759.62,18.99,5,2,16
1263,38,37,2,57,739.63,19.46,0,2,1
1264,52,52,1,51,2599.48,49.99,2,1,28
1265,31,30,0,0,299.7,9.67,1,2,26
1266,32,32,2,43,639.68,19.99,1,2,3
1267,32,31,0,0,619.69,19.37,1,2,10
1268,51,49,0,0,979.51,19.21,3,2,12
1269,52,52,1,33,2599.48,49.99,1,3,2
1270,40,38,2,9,1899.62,47.49,0,2,6
1271,43,43,1,47,429.57,9.99,4,3,24
1272,50,48,1,8,479.52,9.59,0,1,28
1273,46,45,2,16,449.55,9.77,3,1,27
1274,48,47,0,0,939.53,19.57,2,3,15
1275,48,48,0,0,479.52,9.99,4,3,1
1276,36,34,0,0,679.66,18.88,0,2,18
1277,39,37,1,81,739.63,18.96,4,3,2
1278,49,48,3,74,959.52,19.58,5,1,5
1279,40,38,0,0,759.62,18.99,1,2,5
1280,48,47,1,51,939.53,19.57,1,1,13
1281,45,43,2,59,859.57,19.1,3,0,13
1282,38,38,1,64,379.62,9.99,0,1,4
1283,46,46,1,41,919.54,19.99,5,1,18
1284,52,51,0,0,1019.49,19.61,1,3,8
1285,39,37,0,0,739.63,18.96,3,1,18
1286,35,33,2,16,1649.67,47.13,4,0,23
1287,51,50,3,28,2499.5,49.01,3,3,2
1288,52,52,1,64,2599.48,49.99,0,0,21
1289,32,30,0,0,299.7,9.37,0,0,22
1290,36,35,0,0,699.65,19.43,4,1,13
1291,54,54,1,55,539.46,9.99,3,2,14
1292,51,51,0,0,509.49,9.99,2,1,18
1293,46,45,0,0,449.55,9.77,1,2,28
1294,49,47,3,61,469.53,9.58,0,3,13
1295,40,39,1,35,389.61,9.74,3,1,17
1296,38,36,2,23,719.64,18.94,5,0,25
1297,38,37,0,0,1849.63,48.67,4,0,26
1298,47,47,2,89,469.53,9.99,3,0,17
1299,41,41,1,4,2049.59,49.99,1,0,2
1300,52,50,0,0,499.5,9.61,1,3,9
1301,49,48,0,0,479.52,9.79,5,2,10
1302,41,39,2,81,779.61,19.01,5,3,15
1303,54,52,3,24,1039.48,19.25,0,2,9
1304,41,40,3,38,399.6,9.75,3,3,26
1305,45,44,0,0,439.56,9.77,4,2,16
1306,39,39,2,31,779.61,19.99,4,3,14
1307,44,42,2,7,419.58,9.54,1,2,25
1308,40,39,0,0,779.61,19.49,4,0,17
1309,30,29,1,66,579.71,19.32,0,1,9
1310,35,33,1,12,329.67,9.42,0,2,4
1311,32,30,0,0,1499.7,46.87,4,2,15
1312,38,38,1,75,379.62,9.99,2,0,23
1313,49,49,3,52,979.51,19.99,2,1,28
1314,48,46,2,68,919.54,19.16,1,3,23
1315,44,42,0,0,2099.58,47.72,2,2,2
1316,47,45,3,90,899.55,19.14,4,0,4
1317,52,50,3,72,999.5,19.22,1,0,18
1318,34,33,2,5,329.67,9.7,3,2,19
1319,36,34,1,6,679.66,18.88,3,1,26
1320,52,51,2,51,1019.49,19.61,1,0,5
1321,43,43,1,75,859.57,19.99,2,2,27
1322,52,51,0,0,2549.49,49.03,1,0,20
1323,52,52,2,86,519.48,9.99,5,2,25
1324,34,33,0,0,1649.67,48.52,5,3,3
1325,38,38,3,31,1899.62,49.99,0,1,3
1326,37,36,3,4,719.64,19.45,0,1,24
1327,36,36,2,61,719.64,19.99,3,2,20
1328,49,49,2,45,489.51,9.99,3,3,6
1329,52,50,0,0,2499.5,48.07,5,2,6
1330,37,35,3,69,349.65,9.45,0,0,26
1331,51,51,3,76,1019.49,19.99,3,0,7
1332,48,48,3,32,959.52,19.99,5,2,8
1333,52,51,3,10,2549.49,49.03,5,0,26
1334,34,32,1,30,639.68,18.81,2,3,15
1335,52,52,0,0,1039.48,19.99,2,3,24
1336,31,29,0,0,289.71,9.35,1,1,26
1337,46,46,0,0,459.54,9.99,5,1,19
1338,40,40,1,58,399.6,9.99,1,0,18
1339,50,49,3,32,2449.51,48.99,1,1,21
1340,35,33,0,0,659.67,18.85,4,0,28
1341,46,46,2,34,919.54,19.99,0,1,1
1342,34,33,2,70,659.67,19.4,1,3,25
1343,34,32,0,0,639.68,18.81,2,2,13
1344,53,51,2,51,509.49,9.61,1,3,26
1345,33,32,0,0,319.68,9.69,2,1,12
1346,51,50,3,88,499.5,9.79,1,1,2
1347,40,39,1,61,779.61,19.49,5,1,3
1348,32,30,2,56,299.7,9.37,4,3,13
1349,34,32,2,51,639.68,18.81,4,2,13
1350,35,33,2,22,659.67,18.85,5,3,26
1351,36,35,0,0,699.65,19.43,2,1,7
1352,43,43,1,2,429.57,9.99,1,1,24
1353,45,43,0,0,429.57,9.55,4,1,19
1354,47,46,0,0,459.54,9.78,2,3,10
1355,31,30,1,34,599.7,19.35,1,0,28
1356,43,43,0,0,429.57,9.99,4,2,13
1357,46,46,1,75,2299.54,49.99,4,1,1
1358,45,43,0,0,859.57,19.1,3,1,6
1359,41,41,3,15,409.59,9.99,5,0,14
1360,50,49,3,71,979.51,19.59,5,1,8
1361,31,31,3,30,619.69,19.99,1,0,26
1362,32,30,2,27,599.7,18.74,2,1,20
1363,44,43,2,86,429.57,9.76,2,0,6
1364,39,39,3,69,389.61,9.99,3,2,22
1365,43,42,0,0,419.58,9.76,3,2,3
1366,52,51,0,0,509.49,9.8,5,0,8
1367,54,53,3,73,1059.47,19.62,4,2,3
1368,39,39,2,48,779.61,19.99,1,1,26
1369,33,31,3,44,1549.69,46.96,5,0,21
1370,35,33,2,53,329.67,9.42,5,0,28
1371,51,50,0,0,499.5,9.79,5,0,19
1372,52,50,2,26,999.5,19.22,2,1,17
1373,36,36,3,11,359.64,9.99,1,2,10
1374,47,45,0,0,449.55,9.56,2,1,21
1375,37,36,3,46,719.64,19.45,1,2,20
1376,45,44,3,40,439.56,9.77,2,3,12
1377,50,48,3,21,959.52,19.19,0,1,7
1378,42,42,3,80,419.58,9.99,3,0,5
1379,52,50,2,15,999.5,19.22,2,2,21
1380,46,46,1,7,2299.54,49.99,0,0,23
1381,42,41,2,56,409.59,9.75,1,0,6
1382,44,42,1,69,2099.58,47.72,1,1,24
1383,49,47,0,0,939.53,19.17,5,0,21
1384,39,38,1,76,1899.62,48.71,2,0,5
1385,36,36,2,88,359.64,9.99,5,0,19
1386,30,28,0,0,559.72,18.66,4,0,2
1387,44,44,0,0,879.56,19.99,4,0,8
1388,33,31,2,25,619.69,18.78,0,0,5
1389,32,32,0,0,639.68,19.99,5,2,15
1390,36,36,1,60,719.64,19.99,5,0,1
1391,54,52,0,0,2599.48,48.14,4,2,3
1392,31,29,1,47,289.71,9.35,5,0,27
1393,35,34,1,4,339.66,9.7,1,2,13
1394,44,43,2,47,859.57,19.54,2,0,25
1395,32,30,2,30,599.7,18.74,5,3,2
1396,51,50,0,0,999.5,19.6,0,0,8
1397,50,49,2,6,979.51,19.59,4,3,25
1398,45,43,0,0,2149.57,47.77,2,2,4
1399,50,48,3,55,959.52,19.19,2,3,18
1400,51,51,2,39,509.49,9.99,5,1,16
1401,35,35,3,15,349.65,9.99,0,1,12
1402,49,49,2,37,2449.51,49.99,2,1,18
1403,45,44,0,0,879.56,19.55,2,0,22
1404,45,45,1,39,2249.55,49.99,0,2,16
1405,34,34,0,0,339.66,9.99,4,1,19
1406,47,45,1,55,899.55,19.14,4,2,16
1407,42,42,0,0,839.58,19.99,3,3,4
1408,47,45,0,0,449.55,9.56,0,3,20
1409,31,31,2,10,619.69,19.99,4,1,25
1410,33,33,0,0,659.67,19.99,4,0,9
1411,45,43,3,75,859.57,19.1,1,3,26
1412,37,35,3,56,1749.65,47.29,4,1,9
1413,38,36,0,0,1799.64,47.36,3,2,5
1414,46,44,0,0,2199.56,47.82,1,2,22
1415,52,50,3,90,2499.5,48.07,0,1,26
1416,51,50,3,78,999.5,19.6,3,3,8
1417,33,33,2,64,329.67,9.99,1,2,25
1418,40,40,3,19,1999.6,49.99,1,1,26
1419,45,45,0,0,899.55,19.99,3,1,10
1420,53,51,3,43,509.49,9.61,1,1,5
1421,54,54,2,5,1079.46,19.99,4,1,20
1422,43,43,2,19,429.57,9.99,1,2,27
1423,50,48,1,30,959.52,19.19,1,3,11
1424,32,31,2,12,309.69,9.68,4,0,13
1425,45,43,1,1,429.57,9.55,4,1,15
1426,49,47,3,66,2349.53,47.95,5,3,18
1427,39,39,0,0,779.61,19.99,0,0,18
1428,35,34,1,78,679.66,19.42,1,2,26
1429,30,28,0,0,559.72,18.66,3,1,24
1430,40,40,3,63,1999.6,49.99,3,1,20
1431,35,33,1,84,659.67,18.85,1,2,4
1432,54,52,1,54,1039.48,19.25,4,1,8
1433,50,48,3,90,2399.52,47.99,2,1,2
1434,52,50,3,10,499.5,9.61,4,0,27
1435,31,29,3,42,1449.71,46.76,0,3,24
1436,49,48,2,71,959.52,19.58,0,3,10
1437,36,34,3,37,679.66,18.88,5,1,15
1438,53,51,0,0,509.49,9.61,2,2,19
1439,42,40,0,0,799.6,19.04,4,2,5
1440,34,33,0,0,659.67,19.4,5,1,4
1441,35,35,0,0,1749.65,49.99,5,1,19
1442,49,49,2,84,2449.51,49.99,3,2,18
1443,40,40,0,0,1999.6,49.99,0,0,14
1444,50,49,0,0,489.51,9.79,3,1,20
1445,53,52,3,82,2599.48,49.05,1,1,25
1446,44,44,0,0,879.56,19.99,1,3,25
1447,42,42,3,70,2099.58,49.99,2,0,4
1448,53,52,3,19,519.48,9.8,5,3,10
1449,42,42,2,49,839.58,19.99,0,1,13
1450,47,46,1,53,2299.54,48.93,1,3,7
1451,31,30,2,70,1499.7,48.38,3,3,26
1452,46,44,0,0,879.56,19.12,4,1,25
1453,31,29,0,0,579.71,18.7,5,1,4
1454,51,50,2,76,499.5,9.79,5,0,22
1455,42,42,0,0,839.58,19.99,1,3,22
1456,35,33,1,41,659.67,18.85,1,1,26
1457,40,39,2,3,389.61,9.74,2,0,9
1458,33,32,0,0,319.68,9.69,4,1,24
1459,49,48,2,8,479.52,9.79,3,2,25
1460,46,46,1,26,919.54,19.99,5,3,20
1461,49,48,0,0,479.52,9.79,5,1,12
1462,48,47,1,53,939.53,19.57,5,0,23
1463,40,40,1,21,399.6,9.99,4,2,3
1464,53,51,0,0,1019.49,19.24,5,3,17
1465,48,47,3,82,939.53,19.57,4,0,19
1466,43,42,2,10,839.58,19.53,3,0,27
1467,40,39,0,0,779.61,19.49,2,0,23
1468,31,31,1,21,619.69,19.99,3,3,6
1469,46,46,3,56,459.54,9.99,1,2,12
1470,45,45,1,5,2249.55,49.99,0,2,16
1471,49,47,1,16,469.53,9.58,5,2,23
1472,30,28,3,39,279.72,9.32,5,2,9
1473,51,49,1,42,979.51,19.21,4,2,6
1474,41,40,3,57,399.6,9.75,5,0,26
1475,53,53,2,41,2649.47,49.99,0,2,8
1476,38,37,1,62,369.63,9.73,0,1,11
1477,47,46,0,0,919.54,19.56,0,0,23
1478,47,46,3,82,459.54,9.78,2,2,28
1479,38,36,0,0,359.64,9.46,4,1,10
1480,42,42,3,90,419.58,9.99,3,0,4
1481,44,43,0,0,2149.57,48.85,1,2,21
1482,46,45,1,18,2249.55,48.9,0,0,27
1483,47,45,3,38,899.55,19.14,0,2,2
1484,53,52,2,53,2599.48,49.05,3,2,21
1485,32,32,3,55,639.68,19.99,4,0,27
1486,48,48,1,6,2399.52,49.99,0,1,28
1487,41,40,1,38,1999.6,48.77,1,1,19
1488,43,43,1,49,429.57,9.99,5,3,4
1489,45,45,2,81,899.55,19.99,1,2,9
1490,52,51,3,18,1019.49,19.61,4,0,7
1491,45,44,1,19,439.56,9.77,3,3,15
1492,42,42,1,58,419.58,9.99,5,0,22
1493,32,31,2,10,1549.69,48.43,1,1,4
1494,37,36,2,55,1799.64,48.64,1,1,26
1495,41,41,1,88,819.59,19.99,3,1,14
1496,31,31,0,0,1549.69,49.99,2,0,16
1497,36,34,0,0,1699.66,47.21,2,2,24
1498,43,41,1,4,409.59,9.53,2,3,10
1499,53,52,1,77,519.48,9.8,2,1,9
1500,50,49,3,25,489.51,9.79,5,1,3
1501,45,44,0,0,439.56,9.77,1,0,17
1502,48,46,3,28,459.54,9.57,3,2,4
1503,34,32,1,26,639.68,18.81,1,3,9
1504,45,44,3,82,2199.56,48.88,2,0,4
1505,53,52,1,12,2599.48,49.05,5,0,23
1506,50,50,3,79,999.5,19.99,0,0,9
1507,34,32,3,32,1599.68,47.05,5,2,15
1508,39,38,0,0,759.62,19.48,0,0,5
1509,42,40,3,29,1999.6,47.61,1,0,1
1510,43,41,1,76,819.59,19.06,5,0,20
1511,39,37,1,5,369.63,9.48,0,2,11
1512,34,32,2,51,1599.68,47.05,4,0,17
1513,37,36,2,79,359.64,9.72,5,2,13
1514,50,48,3,10,959.52,19.19,1,1,5
1515,41,39,3,68,389.61,9.5,1,0,22
1516,35,35,0,0,699.65,19.99,3,1,4
1517,48,47,1,3,2349.53,48.95,0,1,15
1518,46,44,1,37,439.56,9.56,3,1,24
1519,53,52,1,69,2599.48,49.05,2,2,8
1520,30,29,3,43,289.71,9.66,1,0,9
1521,39,37,0,0,369.63,9.48,1,3,17
1522,54,52,1,32,519.48,9.62,0,3,25
1523,36,35,2,6,699.65,19.43,0,3,6
1524,36,36,1,27,359.64,9.99,5,2,4
1525,31,30,0,0,599.7,19.35,5,0,9
1526,31,29,0,0,289.71,9.35,1,1,5
1527,47,47,0,0,469.53,9.99,4,1,25
1528,42,41,2,17,819.59,19.51,2,1,14
1529,39,37,2,36,369.63,9.48,5,3,7
1530,52,52,3,61,519.48,9.99,5,0,11
1531,32,31,2,16,309.69,9.68,0,0,4
1532,43,43,0,0,859.57,19.99,5,1,11
1533,33,32,3,89,639.68,19.38,5,1,3
1534,43,42,1,36,419.58,9.76,0,1,23
1535,32,32,1,46,319.68,9.99,1,3,28
1536,50,49,3,11,979.51,19.59,3,0,22
1537,44,42,3,88,419.58,9.54,4,3,16
1538,37,35,3,58,1749.65,47.29,0,2,3
1539,44,42,2,52,839.58,19.08,1,2,28
1540,31,31,3,67,619.69,19.99,0,1,12
1541,40,39,1,46,389.61,9.74,3,1,16
1542,43,41,0,0,819.59,19.06,4,1,11
1543,40,38,1,25,1899.62,47.49,4,0,24
1544,30,30,3,24,599.7,19.99,3,1,21
1545,44,42,3,45,839.58,19.08,5,1,22
1546,35,35,2,63,699.65,19.99,3,3,8
1547,50,48,3,21,959.52,19.19,1,2,6
1548,48,48,2,85,479.52,9.99,1,3,14
1549,40,40,0,0,799.6,19.99,3,2,15
